Year, NodeId, Gender, IsCircumcised, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters, HasIntervention(Traditional_MC),Program_VMMC,Non_Program_MMC
1980.5,1,0,0,0,0,0,3205,0,0,0,44,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,5,2818,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1980.5,1,0,0,0,0,10,2565,0,0,0,2,0,0,0,0,0,0,0,0,0,6
1980.5,1,0,0,0,0,15,2208,0,0,0,6,0,0,0,0,0,0,0,0,0,9
1980.5,1,0,0,0,0,20,890,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,25,871,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,30,848,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,35,853,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,40,755,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,45,607,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,50,445,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,55,275,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,60,181,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,65,128,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,70,87,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,75,42,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,80,28,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,1,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
